Country,Region,Year,Number
US,Americas,1991,2067
US,Americas,1992,2083
US,Americas,1993,2084
US,Americas,1994,2095
US,Americas,1995,2077
US,Americas,1996,2074
US,Americas,1997,2029
US,Americas,1998,2140
US,Americas,1999,1978
US,Americas,2000,1955
US,Americas,2001,2274
US,Americas,2002,2232
US,Americas,2003,2208
US,Americas,2004,2190
US,Americas,2005,2207
US,Americas,2006,2123
US,Americas,2007,2032
US,Americas,2008,1932
US,Americas,2009,1926
US,Americas,2010,1836
US,Americas,2011,1744
US,Americas,2012,1724
US,Americas,2013,1657
US,Americas,2014,1638
US,Americas,2015,1635
US,Americas,2016,141
US,Americas,2017,1587
US,Americas,2018,1630
US,Americas,2019,1660
Russia,Americas,1991,324
Russia,Americas,1992,278
Russia,Americas,1993,248
Russia,Americas,1994,211
Russia,Americas,1995,195
Russia,Americas,1996,181
Russia,Americas,1997,195
Russia,Americas,1998,168
Russia,Americas,1999,167
Russia,Americas,2000,177
Russia,Americas,2001,198
Russia,Americas,2002,203
Russia,Americas,2003,244
Russia,Americas,2004,255
Russia,Americas,2005,266
Russia,Americas,2006,301
Russia,Americas,2007,324
Russia,Americas,2008,380
Russia,Americas,2009,328
Russia,Americas,2010,348
Russia,Americas,2011,404
Russia,Americas,2012,399
Russia,Americas,2013,387
Russia,Americas,2014,360
Russia,Americas,2015,310
Russia,Americas,2016,303
Russia,Americas,2017,296
Russia,Americas,2018,345
Russia,Americas,2019,369
China,Asia,1991,362
China,Asia,1992,410
China,Asia,1993,440
China,Asia,1994,485
China,Asia,1995,518
China,Asia,1996,547
China,Asia,1997,574
China,Asia,1998,603
China,Asia,1999,626
China,Asia,2000,647
China,Asia,2001,684
China,Asia,2002,724
China,Asia,2003,767
China,Asia,2004,802
China,Asia,2005,857
China,Asia,2006,913
China,Asia,2007,1002
China,Asia,2008,1071
China,Asia,2009,1164
China,Asia,2010,1250
China,Asia,2011,1339
China,Asia,2012,1371
China,Asia,2013,1428
China,Asia,2014,1490
China,Asia,2015,1574
China,Asia,2016,1696
China,Asia,2017,1678
China,Asia,2018,1845
China,Asia,2019,1996
Germany,Europe,1991,597
Germany,Europe,1992,593
Germany,Europe,1993,577
Germany,Europe,1994,573
Germany,Europe,1995,564
Germany,Europe,1996,551
Germany,Europe,1997,514
Germany,Europe,1998,504
Germany,Europe,1999,568
Germany,Europe,2000,539
Germany,Europe,2001,453
Germany,Europe,2002,467
Germany,Europe,2003,475
Germany,Europe,2004,462
Germany,Europe,2005,432
Germany,Europe,2006,412
Germany,Europe,2007,394
Germany,Europe,2008,383
Germany,Europe,2009,388
Germany,Europe,2010,369
Germany,Europe,2011,358
Germany,Europe,2012,352
Germany,Europe,2013,344
Germany,Europe,2014,355
Germany,Europe,2015,358
Germany,Europe,2016,385
Germany,Europe,2017,356
Germany,Europe,2018,349
Germany,Europe,2019,371
Japan,Europe,1991,827
Japan,Europe,1992,815
Japan,Europe,1993,797
Japan,Europe,1994,781
