Country,region,Image URL,Year,Number
Brazil,Americas,https://www.countryflags.io/br/flat/64.png,1991,78
Brazil,Americas,https://www.countryflags.io/br/flat/64.png,1992,78
Brazil,Americas,https://www.countryflags.io/br/flat/64.png,1993,77
Brazil,Americas,https://www.countryflags.io/br/flat/64.png,1994,79
Brazil,Americas,https://www.countryflags.io/br/flat/64.png,1995,78
Brazil,Americas,https://www.countryflags.io/br/flat/64.png,1996,80
Brazil,Americas,https://www.countryflags.io/br/flat/64.png,1997,83
Brazil,Americas,https://www.countryflags.io/br/flat/64.png,1998,87
Brazil,Americas,https://www.countryflags.io/br/flat/64.png,1999,91
Brazil,Americas,https://www.countryflags.io/br/flat/64.png,2000,92
Brazil,Americas,https://www.countryflags.io/br/flat/64.png,2001,94
Brazil,Americas,https://www.countryflags.io/br/flat/64.png,2002,103
Brazil,Americas,https://www.countryflags.io/br/flat/64.png,2003,107
Brazil,Americas,https://www.countryflags.io/br/flat/64.png,2004,105
Brazil,Americas,https://www.countryflags.io/br/flat/64.png,2005,107
Brazil,Americas,https://www.countryflags.io/br/flat/64.png,2006,112
Brazil,Americas,https://www.countryflags.io/br/flat/64.png,2007,115
Brazil,Americas,https://www.countryflags.io/br/flat/64.png,2008,118
Brazil,Americas,https://www.countryflags.io/br/flat/64.png,2009,121
Brazil,Americas,https://www.countryflags.io/br/flat/64.png,2010,122
Brazil,Americas,https://www.countryflags.io/br/flat/64.png,2011,121
Brazil,Americas,https://www.countryflags.io/br/flat/64.png,2012,121
Brazil,Americas,https://www.countryflags.io/br/flat/64.png,2013,124
Brazil,Americas,https://www.countryflags.io/br/flat/64.png,2014,124
Brazil,Americas,https://www.countryflags.io/br/flat/64.png,2015,124
Brazil,Americas,https://www.countryflags.io/br/flat/64.png,2016,124
Brazil,Americas,https://www.countryflags.io/br/flat/64.png,2017,127
Brazil,Americas,https://www.countryflags.io/br/flat/64.png,2017,127
Canada,Americas,https://www.countryflags.io/ca/flat/64.png,1991,199
Canada,Americas,https://www.countryflags.io/ca/flat/64.png,1992,202
Canada,Americas,https://www.countryflags.io/ca/flat/64.png,1993,215
Canada,Americas,https://www.countryflags.io/ca/flat/64.png,1994,226
Canada,Americas,https://www.countryflags.io/ca/flat/64.png,1995,228
Canada,Americas,https://www.countryflags.io/ca/flat/64.png,1996,228
Canada,Americas,https://www.countryflags.io/ca/flat/64.png,1997,228
Canada,Americas,https://www.countryflags.io/ca/flat/64.png,1998,227
Canada,Americas,https://www.countryflags.io/ca/flat/64.png,1999,225
Canada,Americas,https://www.countryflags.io/ca/flat/64.png,2000,222
Canada,Americas,https://www.countryflags.io/ca/flat/64.png,2001,223
Canada,Americas,https://www.countryflags.io/ca/flat/64.png,2002,227
Canada,Americas,https://www.countryflags.io/ca/flat/64.png,2003,220
Canada,Americas,https://www.countryflags.io/ca/flat/64.png,2004,215
Canada,Americas,https://www.countryflags.io/ca/flat/64.png,2005,213
Canada,Americas,https://www.countryflags.io/ca/flat/64.png,2006,215
Canada,Americas,https://www.countryflags.io/ca/flat/64.png,2007,213
Canada,Americas,https://www.countryflags.io/ca/flat/64.png,2008,208
Canada,Americas,https://www.countryflags.io/ca/flat/64.png,2009,203
Canada,Americas,https://www.countryflags.io/ca/flat/64.png,2010,199
Canada,Americas,https://www.countryflags.io/ca/flat/64.png,2011,202
Canada,Americas,https://www.countryflags.io/ca/flat/64.png,2012,207
Canada,Americas,https://www.countryflags.io/ca/flat/64.png,2013,223
Canada,Americas,https://www.countryflags.io/ca/flat/64.png,2014,223
Canada,Americas,https://www.countryflags.io/ca/flat/64.png,2015,223
Canada,Americas,https://www.countryflags.io/ca/flat/64.png,2016,223
Canada,Americas,https://www.countryflags.io/ca/flat/64.png,2017,219
China,Asia,https://www.countryflags.io/cn/flat/64.png,1991,531
China,Asia,https://www.countryflags.io/cn/flat/64.png,1992,537
China,Asia,https://www.countryflags.io/cn/flat/64.png,1993,550
China,Asia,https://www.countryflags.io/cn/flat/64.png,1994,572
China,Asia,https://www.countryflags.io/cn/flat/64.png,1995,599
China,Asia,https://www.countryflags.io/cn/flat/64.png,1996,601
China,Asia,https://www.countryflags.io/cn/flat/64.png,1997,588
China,Asia,https://www.countryflags.io/cn/flat/64.png,1998,582
China,Asia,https://www.countryflags.io/cn/flat/64.png,1999,580
China,Asia,https://www.countryflags.io/cn/flat/64.png,2000,588
China,Asia,https://www.countryflags.io/cn/flat/64.png,2001,609
China,Asia,https://www.countryflags.io/cn/flat/64.png,2002,629
China,Asia,https://www.countryflags.io/cn/flat/64.png,2003,682
China,Asia,https://www.countryflags.io/cn/flat/64.png,2004,715
China,Asia,https://www.countryflags.io/cn/flat/64.png,2005,766
China,Asia,https://www.countryflags.io/cn/flat/64.png,2006,797
China,Asia,https://www.countryflags.io/cn/flat/64.png,2007,841
China,Asia,https://www.countryflags.io/cn/flat/64.png,2008,850
China,Asia,https://www.countryflags.io/cn/flat/64.png,2009,892
China,Asia,https://www.countryflags.io/cn/flat/64.png,2010,931
China,Asia,https://www.countryflags.io/cn/flat/64.png,2011,966
China,Asia,https://www.countryflags.io/cn/flat/64.png,2012,959
China,Asia,https://www.countryflags.io/cn/flat/64.png,2013,969
China,Asia,https://www.countryflags.io/cn/flat/64.png,2014,969
China,Asia,https://www.countryflags.io/cn/flat/64.png,2015,969
China,Asia,https://www.countryflags.io/cn/flat/64.png,2016,969
China,Asia,https://www.countryflags.io/cn/flat/64.png,2017,905
France,Europe,https://www.countryflags.io/fr/flat/64.png,1991,80
France,Europe,https://www.countryflags.io/fr/flat/64.png,1992,81
France,Europe,https://www.countryflags.io/fr/flat/64.png,1993,84
France,Europe,https://www.countryflags.io/fr/flat/64.png,1994,82
France,Europe,https://www.countryflags.io/fr/flat/64.png,1995,83
France,Europe,https://www.countryflags.io/fr/flat/64.png,1996,83
France,Europe,https://www.countryflags.io/fr/flat/64.png,1997,80
France,Europe,https://www.countryflags.io/fr/flat/64.png,1998,77
France,Europe,https://www.countryflags.io/fr/flat/64.png,1999,78
France,Europe,https://www.countryflags.io/fr/flat/64.png,2000,78
France,Europe,https://www.countryflags.io/fr/flat/64.png,2001,77
France,Europe,https://www.countryflags.io/fr/flat/64.png,2002,78
France,Europe,https://www.countryflags.io/fr/flat/64.png,2003,77
France,Europe,https://www.countryflags.io/fr/flat/64.png,2004,75
France,Europe,https://www.countryflags.io/fr/flat/64.png,2005,72
France,Europe,https://www.countryflags.io/fr/flat/64.png,2006,71
France,Europe,https://www.countryflags.io/fr/flat/64.png,2007,70
France,Europe,https://www.countryflags.io/fr/flat/64.png,2008,69
France,Europe,https://www.countryflags.io/fr/flat/64.png,2009,67
France,Europe,https://www.countryflags.io/fr/flat/64.png,2010,67
France,Europe,https://www.countryflags.io/fr/flat/64.png,2011,67
France,Europe,https://www.countryflags.io/fr/flat/64.png,2012,66
France,Europe,https://www.countryflags.io/fr/flat/64.png,2013,67
France,Europe,https://www.countryflags.io/fr/flat/64.png,2014,67
France,Europe,https://www.countryflags.io/fr/flat/64.png,2015,67
France,Europe,https://www.countryflags.io/fr/flat/64.png,2016,67
France,Europe,https://www.countryflags.io/fr/flat/64.png,2017,66
Germany,Europe,https://www.countryflags.io/de/flat/64.png,1991,108
Germany,Europe,https://www.countryflags.io/de/flat/64.png,1992,104
Germany,Europe,https://www.countryflags.io/de/flat/64.png,1993,97
Germany,Europe,https://www.countryflags.io/de/flat/64.png,1994,91
Germany,Europe,https://www.countryflags.io/de/flat/64.png,1995,89
Germany,Europe,https://www.countryflags.io/de/flat/64.png,1996,86
Germany,Europe,https://www.countryflags.io/de/flat/64.png,1997,85
Germany,Europe,https://www.countryflags.io/de/flat/64.png,1998,80
Germany,Europe,https://www.countryflags.io/de/flat/64.png,1999,80
Germany,Europe,https://www.countryflags.io/de/flat/64.png,2000,77
Germany,Europe,https://www.countryflags.io/de/flat/64.png,2001,76
Germany,Europe,https://www.countryflags.io/de/flat/64.png,2002,76
Germany,Europe,https://www.countryflags.io/de/flat/64.png,2003,74
Germany,Europe,https://www.countryflags.io/de/flat/64.png,2004,70
Germany,Europe,https://www.countryflags.io/de/flat/64.png,2005,70
Germany,Europe,https://www.countryflags.io/de/flat/64.png,2006,69
Germany,Europe,https://www.countryflags.io/de/flat/64.png,2007,68
Germany,Europe,https://www.countryflags.io/de/flat/64.png,2008,65
Germany,Europe,https://www.countryflags.io/de/flat/64.png,2009,63
Germany,Europe,https://www.countryflags.io/de/flat/64.png,2010,61
Germany,Europe,https://www.countryflags.io/de/flat/64.png,2011,58
Germany,Europe,https://www.countryflags.io/de/flat/64.png,2012,57
Germany,Europe,https://www.countryflags.io/de/flat/64.png,2013,56
Germany,Europe,https://www.countryflags.io/de/flat/64.png,2014,56
Germany,Europe,https://www.countryflags.io/de/flat/64.png,2015,56
Germany,Europe,https://www.countryflags.io/de/flat/64.png,2016,56
Germany,Europe,https://www.countryflags.io/de/flat/64.png,2017,54
