Country,Indicator,Year,Number
US,Military,1991,4380
US,Military,1992,4543
US,Military,1993,4263
US,Military,1994,4113
US,Military,1995,4007
US,Military,1996,3831
US,Military,1997,3924
US,Military,1998,4094
US,Military,1999,3690
US,Military,2000,3486
US,Military,2001,3167
US,Military,2002,3203
US,Military,2003,3401
US,Military,2004,3545
US,Military,2005,3536
US,Military,2006,3467
US,Military,2007,3400
US,Military,2008,3407
US,Military,2009,3470
US,Military,2010,3601
US,Military,2011,3535
US,Military,2012,3459
US,Military,2013,3183
US,Military,2014,3370
US,Military,2015,3154
US,Military,2016,3103
US,Military,2017,3180
US,Military,2018,3350
US,Military,2019,3520
Russia,Military,1991,640
Russia,Military,1992,640
Russia,Military,1993,693
Russia,Military,1994,467
Russia,Military,1995,749
Russia,Military,1996,675
Russia,Military,1997,580
Russia,Military,1998,387
Russia,Military,1999,700
Russia,Military,2000,931
Russia,Military,2001,1102
Russia,Military,2002,1232
Russia,Military,2003,1064
Russia,Military,2004,1137
Russia,Military,2005,987
Russia,Military,2006,893
Russia,Military,2007,890
Russia,Military,2008,1006
Russia,Military,2009,901
Russia,Military,2010,1007
Russia,Military,2011,1174
Russia,Military,2012,1219
Russia,Military,2013,1214
Russia,Military,2014,899
Russia,Military,2015,1001
Russia,Military,2016,899
Russia,Military,2017,999
Russia,Military,2018,1000
Russia,Military,2019,1010
China,Military,1991,661
China,Military,1992,303
China,Military,1993,378
China,Military,1994,355
China,Military,1995,350
China,Military,1996,325
China,Military,1997,276
China,Military,1998,285
China,Military,1999,320
China,Military,2000,339
China,Military,2001,418
China,Military,2002,449
China,Military,2003,475
China,Military,2004,430
China,Military,2005,429
China,Military,2006,514
China,Military,2007,513
China,Military,2008,552
China,Military,2009,678
China,Military,2010,729
China,Military,2011,719
China,Military,2012,809
China,Military,2013,944
China,Military,2014,884
China,Military,2015,1049
China,Military,2016,821
China,Military,2017,1017
China,Military,2018,1150
China,Military,2019,1348
Germany,Military,1991,377
Germany,Military,1992,469
Germany,Military,1993,440
Germany,Military,1994,635
Germany,Military,1995,453
Germany,Military,1996,513
Germany,Military,1997,339
Germany,Military,1998,447
Germany,Military,1999,473
Germany,Military,2000,491
Germany,Military,2001,369
Germany,Military,2002,367
Germany,Military,2003,468
Germany,Military,2004,341
Germany,Military,2005,473
Germany,Military,2006,517
Germany,Military,2007,550
Germany,Military,2008,465
Germany,Military,2009,484
Germany,Military,2010,489
Germany,Military,2011,284
Germany,Military,2012,235
Germany,Military,2013,223
Germany,Military,2014,347
Germany,Military,2015,440
Germany,Military,2016,335
Germany,Military,2017,442
Germany,Military,2018,450
Germany,Military,2019,453
Japan,Military,1991,210
Japan,Military,1992,214
Japan,Military,1993,218
Japan,Military,1994,229
Japan,Military,1995,240
Japan,Military,1996,253
Japan,Military,1997,228
Japan,Military,1998,227
Japan,Military,1999,221
Japan,Military,2000,214
Japan,Military,2001,214
Japan,Military,2002,202
Japan,Military,2003,189
Japan,Military,2004,178
Japan,Military,2005,170
Japan,Military,2006,163
Japan,Military,2007,159
Japan,Military,2008,145
Japan,Military,2009,140
Japan,Military,2010,139
Japan,Military,2011,141
Japan,Military,2012,139
Japan,Military,2013,141
Japan,Military,2014,143
Japan,Military,2015,143
Japan,Military,2016,144
Japan,Military,2017,159
Japan,Military,2018,145
Japan,Military,2019,138
UK,Military,1991,602
UK,Military,1992,511
UK,Military,1993,519
UK,Military,1994,562
UK,Military,1995,543
UK,Military,1996,566
UK,Military,1997,593
UK,Military,1998,493
UK,Military,1999,496
UK,Military,2000,590
UK,Military,2001,561
UK,Military,2002,522
UK,Military,2003,450
UK,Military,2004,495
UK,Military,2005,464
UK,Military,2006,429
UK,Military,2007,414
UK,Military,2008,424
UK,Military,2009,428
UK,Military,2010,426
UK,Military,2011,382
UK,Military,2012,366
UK,Military,2013,448
UK,Military,2014,442
UK,Military,2015,143
UK,Military,2016,144
UK,Military,2017,159
UK,Military,2018,145
UK,Military,2019,138
France,Military,1991,534
France,Military,1992,515
France,Military,1993,47
France,Military,1994,487
France,Military,1995,498
France,Military,1996,619
France,Military,1997,719
France,Military,1998,717
France,Military,1999,582
France,Military,2000,518
France,Military,2001,576
France,Military,2002,582
France,Military,2003,549
France,Military,2004,650
France,Military,2005,562
France,Military,2006,504
France,Military,2007,564
France,Military,2008,530
France,Military,2009,521
France,Military,2010,365
France,Military,2011,439
France,Military,2012,363
France,Military,2013,431
France,Military,2014,455
France,Military,2015,235
France,Military,2016,226
France,Military,2017,226
France,Military,2018,278
France,Military,2019,281
India,Military,1991,154
India,Military,1992,148
India,Military,1993,160
India,Military,1994,164
India,Military,1995,171
India,Military,1996,175
India,Military,1997,185
India,Military,1998,191
India,Military,1999,208
India,Military,2000,211
India,Military,2001,210
India,Military,2002,200
India,Military,2003,195
India,Military,2004,212
India,Military,2005,213
India,Military,2006,211
India,Military,2007,205
India,Military,2008,215
India,Military,2009,233
India,Military,2010,229
India,Military,2011,231
India,Military,2012,230
India,Military,2013,230
India,Military,2014,244
India,Military,2015,235
India,Military,2016,226
India,Military,2017,226
India,Military,2018,278
India,Military,2019,281
Brazil,Military,1991,73
Brazil,Military,1992,56
Brazil,Military,1993,65
Brazil,Military,1994,81
Brazil,Military,1995,91
Brazil,Military,1996,85
Brazil,Military,1997,83
Brazil,Military,1998,89
Brazil,Military,1999,86
Brazil,Military,2000,91
Brazil,Military,2001,103
Brazil,Military,2002,102
Brazil,Military,2003,74
Brazil,Military,2004,80
Brazil,Military,2005,75
Brazil,Military,2006,82
Brazil,Military,2007,85
Brazil,Military,2008,91
Brazil,Military,2009,87
Brazil,Military,2010,108
Brazil,Military,2011,90
Brazil,Military,2012,91
