Country,Indicator,Year,Number
Brazil,Brazil,1991,252
Brazil,Brazil,1992,246
Brazil,Brazil,1993,267
Brazil,Brazil,1994,273
Brazil,Brazil,1995,253
Brazil,Brazil,1996,250
Brazil,Brazil,1997,245
Brazil,Brazil,1998,259
Brazil,Brazil,1999,261
Brazil,Brazil,2000,247
Brazil,Brazil,2001,241
Brazil,Brazil,2002,241
Brazil,Brazil,2003,232
Brazil,Brazil,2004,246
Brazil,Brazil,2005,247
Brazil,Brazil,2006,236
Brazil,Brazil,2007,238
Brazil,Brazil,2008,242
Brazil,Brazil,2009,244
Brazil,Brazil,2010,264
Brazil,Brazil,2011,265
Brazil,Brazil,2012,253
Brazil,Brazil,2013,260
Brazil,Brazil,2014,260
Brazil,Brazil,2015,249
Brazil,Brazil,2016,240
Brazil,Brazil,2017,245
Brazil,Brazil,2018,250
Brazil,Brazil,2019,254
Canada,Canada,1991,232
Canada,Canada,1992,231
Canada,Canada,1993,231
Canada,Canada,1994,232
Canada,Canada,1995,231
Canada,Canada,1996,228
Canada,Canada,1997,229
Canada,Canada,1998,229
Canada,Canada,1999,248
Canada,Canada,2000,253
Canada,Canada,2001,231
Canada,Canada,2002,231
Canada,Canada,2003,231
Canada,Canada,2004,222
Canada,Canada,2005,226
Canada,Canada,2006,222
Canada,Canada,2007,218
Canada,Canada,2008,214
Canada,Canada,2009,218
Canada,Canada,2010,215
Canada,Canada,2011,212
Canada,Canada,2012,210
Canada,Canada,2013,212
Canada,Canada,2014,209
Canada,Canada,2015,205
Canada,Canada,2016,203
Canada,Canada,2017,190
Canada,Canada,2018,198
Canada,Canada,2019,213
China,China,1991,590
China,China,1992,595
China,China,1993,626
China,China,1994,626
China,China,1995,660
China,China,1996,667
China,China,1997,671
China,China,1998,678
China,China,1999,681
China,China,2000,689
China,China,2001,711
China,China,2002,734
China,China,2003,757
China,China,2004,842
China,China,2005,799
China,China,2006,821
China,China,2007,864
China,China,2008,914
China,China,2009,957
China,China,2010,1006
China,China,2011,1065
China,China,2012,1105
China,China,2013,1135
China,China,2014,1173
China,China,2015,1221
China,China,2016,1249
China,China,2017,1400
China,China,2018,1520
China,China,2019,1639
France,France,1991,362
France,France,1992,361
France,France,1993,354
France,France,1994,357
France,France,1995,346
France,France,1996,333
France,France,1997,336
France,France,1998,355
France,France,1999,378
France,France,2000,372
France,France,2001,331
France,France,2002,319
France,France,2003,325
France,France,2004,317
France,France,2005,315
France,France,2006,331
France,France,2007,314
France,France,2008,300
France,France,2009,309
France,France,2010,298
France,France,2011,290
France,France,2012,259
France,France,2013,272
France,France,2014,255
France,France,2015,265
France,France,2016,278
France,France,2017,280
France,France,2018,300
France,France,2019,308
Germany,Germany,1991,473
Germany,Germany,1992,450
Germany,Germany,1993,464
Germany,Germany,1994,434
Germany,Germany,1995,438
Germany,Germany,1996,467
Germany,Germany,1997,402
Germany,Germany,1998,408
Germany,Germany,1999,402
Germany,Germany,2000,419
Germany,Germany,2001,390
Germany,Germany,2002,394
Germany,Germany,2003,387
Germany,Germany,2004,375
Germany,Germany,2005,360
Germany,Germany,2006,330
Germany,Germany,2007,357
Germany,Germany,2008,360
Germany,Germany,2009,366
Germany,Germany,2010,341
Germany,Germany,2011,353
Germany,Germany,2012,349
Germany,Germany,2013,292
Germany,Germany,2014,286
Germany,Germany,2015,286
Germany,Germany,2016,309
Germany,Germany,2017,305
Germany,Germany,2018,303
Germany,Germany,2019,302
India,India,1991,359
India,India,1992,360
India,India,1993,352
India,India,1994,357
India,India,1995,367
India,India,1996,372
India,India,1997,379
India,India,1998,382
India,India,1999,397
India,India,2000,399
India,India,2001,395
India,India,2002,398
India,India,2003,404
India,India,2004,407
India,India,2005,423
India,India,2006,429
India,India,2007,439
India,India,2008,448
India,India,2009,459
India,India,2010,475
India,India,2011,493
India,India,2012,495
India,India,2013,487
India,India,2014,495
India,India,2015,510
India,India,2016,524
India,India,2017,533
India,India,2018,550
India,India,2019,570
Italy,Italy,1991,240
Italy,Italy,1992,237
Italy,Italy,1993,236
Italy,Italy,1994,232
Italy,Italy,1995,255
Italy,Italy,1996,253
Italy,Italy,1997,239
Italy,Italy,1998,240
Italy,Italy,1999,236
Italy,Italy,2000,238
Italy,Italy,2001,244
Italy,Italy,2002,231
Italy,Italy,2003,227
Italy,Italy,2004,229
Italy,Italy,2005,207
Italy,Italy,2006,199
Italy,Italy,2007,216
Italy,Italy,2008,206
Italy,Italy,2009,186
Italy,Italy,2010,178
Italy,Italy,2011,177
Italy,Italy,2012,166
Italy,Italy,2013,168
Italy,Italy,2014,168
Italy,Italy,2015,166
Italy,Italy,2016,165
Italy,Italy,2017,168
Italy,Italy,2018,167
Italy,Italy,2019,165
Japan,Japan,1991,471
Japan,Japan,1992,463
Japan,Japan,1993,458
Japan,Japan,1994,439
Japan,Japan,1995,438
Japan,Japan,1996,436
Japan,Japan,1997,431
Japan,Japan,1998,419
Japan,Japan,1999,408
Japan,Japan,2000,415
Japan,Japan,2001,376
Japan,Japan,2002,367
Japan,Japan,2003,354
Japan,Japan,2004,344
Japan,Japan,2005,348
Japan,Japan,2006,335
Japan,Japan,2007,309
Japan,Japan,2008,296
Japan,Japan,2009,302
Japan,Japan,2010,288
Japan,Japan,2011,262
Japan,Japan,2012,253
Japan,Japan,2013,247
Japan,Japan,2014,240
Japan,Japan,2015,233
Japan,Japan,2016,243
Japan,Japan,2017,257
Japan,Japan,2018,255
Japan,Japan,2019,253
Russia,Russia,1991,599
Russia,Russia,1992,530
Russia,Russia,1993,502
Russia,Russia,1994,476
Russia,Russia,1995,467
Russia,Russia,1996,418
Russia,Russia,1997,487
Russia,Russia,1998,456
Russia,Russia,1999,435
Russia,Russia,2000,421
Russia,Russia,2001,490
Russia,Russia,2002,531
Russia,Russia,2003,576
Russia,Russia,2004,656
Russia,Russia,2005,573
Russia,Russia,2006,593
Russia,Russia,2007,574
Russia,Russia,2008,567
Russia,Russia,2009,538
Russia,Russia,2010,578
Russia,Russia,2011,558
Russia,Russia,2012,580
Russia,Russia,2013,608
Russia,Russia,2014,606
Russia,Russia,2015,591
Russia,Russia,2016,525
Russia,Russia,2017,529
Russia,Russia,2018,580
Russia,Russia,2019,613
UK,UK,1991,363
UK,UK,1992,350
UK,UK,1993,357
UK,UK,1994,350
UK,UK,1995,350
UK,UK,1996,355
UK,UK,1997,355
UK,UK,1998,358
UK,UK,1999,369
UK,UK,2000,354
UK,UK,2001,355
UK,UK,2002,374
UK,UK,2003,369
UK,UK,2004,340
UK,UK,2005,324
UK,UK,2006,333
UK,UK,2007,323
UK,UK,2008,315
UK,UK,2009,305
UK,UK,2010,297
UK,UK,2011,291
UK,UK,2012,293
UK,UK,2013,280
UK,UK,2014,281
UK,UK,2015,294
UK,UK,2016,296
UK,UK,2017,273
UK,UK,2018,273
UK,UK,2019,273
US,US,1991,2000
US,US,1992,2108
US,US,1993,2061
US,US,1994,2102
US,US,1995,2054
US,US,1996,2019
US,US,1997,1979
US,US,1998,1999
US,US,1999,1954
US,US,2000,1983
US,US,2001,2039
US,US,2002,2004
US,US,2003,1961
US,US,2004,1948
US,US,2005,1987
US,US,2006,1956
US,US,2007,1909
US,US,2008,1864
US,US,2009,1854
US,US,2010,1819
US,US,2011,1777
US,US,2012,1761
US,US,2013,1703
US,US,2014,1678
US,US,2015,1637
US,US,2016,1622
US,US,2017,1665
US,US,2018,1670
US,US,2019,1690
